[OBJECTS]
# type	x	y	extra_settings per object type
# type: 1 = Brick, 2 = Torch, 3 = Gate, 4 = Stairs
# 5 = DarkenBat, 6 = Knight, 7 = BreakableBrick, 8 = Candle, 9 = Moving Flatform

#Candle
8	320	217	100
8	448	345	100
8	576	345	100
8	704	345	100
8	848	281	100
8	960	377	100
8	1088	377	100
8	1216	345	100
8	1344	345	100
8	1472	249	100

#BRICK
1	112	441	4
1	80	441	4
1	48	441	4
1	16	441	4
1	176	409	4
1	112	409	4
1	80	409	4
1	48	409	4
1	16	409	4
1	48	377	4
1	16	377	4
1	48	345	4
1	16	345	4
1	48	313	4
1	16	313	4
1	48	281	4
1	16	281	4
1	48	249	4
1	16	249	4
1	48	217	4
1	16	217	4
1	48	185	4
1	16	185	4
1	48	153	4
1	16	153	4
1	48	121	4
1	16	121	4
1	48	89	4
1	16	89	4
#
1	272	313	4
1	272	281	4
1	304	313	4
1	304	281	4
#
1	336	409	4
1	368	409	4
1	400	409	4
1	432	409	4
1	464	409	4
#
1	464	281	4
1	496	281	4
#
1	496	409	4
1	528	409	4
1	560	409	4
1	592	409	4
1	624	409	4
#
1	720	409	4
1	752	409	4
#
#
1	848	345	4
1	880	345	4
#
#
1	912	409	4
1	944	409	4
#
#
1	976	313	4
1	1008	313	4
#
#
1	976	441	4
1	1008	441	4
1	1040	441	4
#
# Easter Egg
1	1072	441	4
#
#
1	1104	281	4
1	1136	281	4
#
#
1	1232	409	4
1	1264	409	4
1	1296	409	4
1	1328	409	4
#
#
1	1360	377	4
1	1392	377	4
#
#
1	1424	313	4
1	1456	313	4
#
1	1488	345	4
1	1520	345	4
1	1488	217	4
1	1520	217	4
