[OBJECTS]
# type	x	y	extra_settings per object type
# type: 1 = Brick, 2 = Torch, 3 = Gate, 4 = Stairs, 5 = DarkenBat, 6 = Knight, 
# 7 = BreakableBrick, 8 = Candle

#DarkenBat
5	112	110	1

#Knight
6	285	185	-1	1000

#BreakableBrick
7	464	281	3
7	496	281	3

#Candle
8	160	329	100
8	416	329	100
8	288	120	100

#Stairs
4	244	409	1	1
4	276	377	1	1
4	308	345	1	1
4	340	313	1	1

#Brick
1	16	441	3
1	48	441	3
1	80	441	3
1	112	441	3
1	144	441	3
1	176	441	3
1	208	441	3
1	240	441	3
1	272	441	3
1	304	441	3
1	336	441	3
1	368	441	3
1	400	441	3
1	432	441	3
1	464	441	3
1	496	441	3

1	496	409	3
1	496	377	3
1	496	345	3
1	496	313	3
#1	496	281	3
1	496	249	3
1	496	217	3
1	496	185	3
1	496	153	3
1	496	121	3
1	496	89	3

1	464	409	3
1	464	377	3
1	464	345	3
1	464	313	3
#1	464	281	3
1	464	249	3
1	464	217	3
1	464	185	3
1	464	153	3
1	464	121	3
1	464	89	3

1	432	313	3
1	400	313	3
1	368	313	3
1	48	313	3
1	16	313	3

1	48	281	3
1	16	281	3

1	48	249	3
1	16	249	3
1	80	249	3
1	112	249	3
1	144	249	3
1	176	249	3
1	208	249	3
1	240	249	3
1	272	249	3
1	304	249	3

1	48	217	3
1	16	217	3

1	16	185	3
1	16	153	3
1	16	121	3
1	16	89	3
